date,n,top
2020-03-03,0,8_nederland_virus_maatregel_coronavirus
2020-03-03,1,6_europees_moeten_nederland_geld
2020-03-04,0,8_nederland_virus_maatregel_coronavirus
2020-03-04,1,3_corona_coronaproof_verschrikkelijk_afschrikken
2020-03-04,2,2_debat_coronavirus_namens_harte
2020-03-04,3,1_motie_komen_moeten_stellen
2020-03-05,0,4_wij_willen_komen_maken
2020-03-05,1,2_debat_coronavirus_namens_harte
2020-03-05,2,7_voorzitter_willen_goed_dank
2020-03-05,3,8_nederland_virus_maatregel_coronavirus
2020-03-05,4,4_wij_willen_komen_maken
2020-03-05,5,13_virus_wij_moeten_weer
2020-03-05,6,13_virus_wij_moeten_weer
2020-03-05,7,8_nederland_virus_maatregel_coronavirus
2020-03-05,8,7_voorzitter_willen_goed_dank
2020-03-05,9,13_virus_wij_moeten_weer
2020-03-05,10,7_voorzitter_willen_goed_dank
2020-03-05,11,12_motie_komen_willen_ziekenhuis
2020-03-05,12,7_voorzitter_willen_goed_dank
2020-03-05,13,8_nederland_virus_maatregel_coronavirus
2020-03-05,14,7_voorzitter_willen_goed_dank
2020-03-05,15,8_nederland_virus_maatregel_coronavirus
2020-03-05,16,4_wij_willen_komen_maken
2020-03-05,17,8_nederland_virus_maatregel_coronavirus
2020-03-05,18,8_nederland_virus_maatregel_coronavirus
2020-03-05,19,13_virus_wij_moeten_weer
2020-03-05,20,13_virus_wij_moeten_weer
2020-03-05,21,0_dier_bedrijf_moeten_volksgezondheid
2020-03-05,22,0_dier_bedrijf_moeten_volksgezondheid
2020-03-05,23,0_dier_bedrijf_moeten_volksgezondheid
2020-03-05,24,8_nederland_virus_maatregel_coronavirus
2020-03-05,25,7_voorzitter_willen_goed_dank
2020-03-05,26,8_nederland_virus_maatregel_coronavirus
2020-03-05,27,8_nederland_virus_maatregel_coronavirus
2020-03-05,28,5_nederland_eiland_curaçao_racisme
2020-03-05,29,8_nederland_virus_maatregel_coronavirus
2020-03-05,30,8_nederland_virus_maatregel_coronavirus
2020-03-05,31,7_voorzitter_willen_goed_dank
2020-03-05,32,7_voorzitter_willen_goed_dank
2020-03-05,33,8_nederland_virus_maatregel_coronavirus
2020-03-05,34,2_debat_coronavirus_namens_harte
2020-03-05,35,13_virus_wij_moeten_weer
2020-03-05,36,8_nederland_virus_maatregel_coronavirus
2020-03-05,37,13_virus_wij_moeten_weer
2020-03-05,38,13_virus_wij_moeten_weer
2020-03-05,39,8_nederland_virus_maatregel_coronavirus
2020-03-05,40,12_motie_komen_willen_ziekenhuis
2020-03-05,41,8_nederland_virus_maatregel_coronavirus
2020-03-05,42,8_nederland_virus_maatregel_coronavirus
2020-03-05,43,8_nederland_virus_maatregel_coronavirus
2020-03-05,44,8_nederland_virus_maatregel_coronavirus
2020-03-05,45,8_nederland_virus_maatregel_coronavirus
2020-03-05,46,1_motie_komen_moeten_stellen
2020-03-05,47,7_voorzitter_willen_goed_dank
2020-03-05,48,7_voorzitter_willen_goed_dank
2020-03-05,49,8_nederland_virus_maatregel_coronavirus
2020-03-05,50,2_debat_coronavirus_namens_harte
2020-03-05,51,7_voorzitter_willen_goed_dank
2020-03-05,52,8_nederland_virus_maatregel_coronavirus
2020-03-05,53,8_nederland_virus_maatregel_coronavirus
2020-03-05,54,7_voorzitter_willen_goed_dank
2020-03-05,55,7_voorzitter_willen_goed_dank
2020-03-05,56,7_voorzitter_willen_goed_dank
2020-03-05,57,4_wij_willen_komen_maken
2020-03-05,58,12_motie_komen_willen_ziekenhuis
2020-03-05,59,8_nederland_virus_maatregel_coronavirus
2020-03-05,60,7_voorzitter_willen_goed_dank
2020-03-05,61,2_debat_coronavirus_namens_harte
2020-03-05,62,7_voorzitter_willen_goed_dank
2020-03-05,63,13_virus_wij_moeten_weer
2020-03-05,64,6_europees_moeten_nederland_geld
2020-03-05,65,13_virus_wij_moeten_weer
2020-03-05,66,8_nederland_virus_maatregel_coronavirus
2020-03-05,67,2_debat_coronavirus_namens_harte
2020-03-05,68,8_nederland_virus_maatregel_coronavirus
2020-03-05,69,13_virus_wij_moeten_weer
2020-03-05,70,13_virus_wij_moeten_weer
2020-03-05,71,13_virus_wij_moeten_weer
2020-03-05,72,7_voorzitter_willen_goed_dank
2020-03-05,73,8_nederland_virus_maatregel_coronavirus
2020-03-05,74,8_nederland_virus_maatregel_coronavirus
2020-03-05,75,1_motie_komen_moeten_stellen
2020-03-05,76,13_virus_wij_moeten_weer
2020-03-05,77,13_virus_wij_moeten_weer
2020-03-05,78,13_virus_wij_moeten_weer
2020-03-05,79,12_motie_komen_willen_ziekenhuis
2020-03-05,80,8_nederland_virus_maatregel_coronavirus
2020-03-05,81,13_virus_wij_moeten_weer
2020-03-05,82,8_nederland_virus_maatregel_coronavirus
2020-03-05,83,12_motie_komen_willen_ziekenhuis
2020-03-05,84,13_virus_wij_moeten_weer
2020-03-10,0,1_motie_komen_moeten_stellen
2020-03-10,1,8_nederland_virus_maatregel_coronavirus
2020-03-10,2,7_voorzitter_willen_goed_dank
2020-03-10,3,4_wij_willen_komen_maken
2020-03-10,4,7_voorzitter_willen_goed_dank
2020-03-10,5,2_debat_coronavirus_namens_harte
2020-03-10,6,8_nederland_virus_maatregel_coronavirus
2020-03-10,7,13_virus_wij_moeten_weer
2020-03-10,8,8_nederland_virus_maatregel_coronavirus
2020-03-10,9,8_nederland_virus_maatregel_coronavirus
2020-03-10,10,8_nederland_virus_maatregel_coronavirus
2020-03-10,11,8_nederland_virus_maatregel_coronavirus
2020-03-10,12,8_nederland_virus_maatregel_coronavirus
2020-03-10,13,8_nederland_virus_maatregel_coronavirus
2020-03-10,14,8_nederland_virus_maatregel_coronavirus
2020-03-10,15,8_nederland_virus_maatregel_coronavirus
2020-03-10,16,1_motie_komen_moeten_stellen
2020-03-10,17,7_voorzitter_willen_goed_dank
2020-03-11,0,4_wij_willen_komen_maken
2020-03-11,1,7_voorzitter_willen_goed_dank
2020-03-11,2,4_wij_willen_komen_maken
2020-03-12,0,8_nederland_virus_maatregel_coronavirus
2020-03-12,1,4_wij_willen_komen_maken
2020-03-12,2,2_debat_coronavirus_namens_harte
2020-03-12,3,8_nederland_virus_maatregel_coronavirus
2020-03-12,4,7_voorzitter_willen_goed_dank
2020-03-12,5,8_nederland_virus_maatregel_coronavirus
2020-03-12,6,4_wij_willen_komen_maken
2020-03-12,7,8_nederland_virus_maatregel_coronavirus
2020-03-12,8,8_nederland_virus_maatregel_coronavirus
2020-03-12,9,4_wij_willen_komen_maken
2020-03-12,10,13_virus_wij_moeten_weer
2020-03-12,11,8_nederland_virus_maatregel_coronavirus
2020-03-12,12,13_virus_wij_moeten_weer
2020-03-12,13,8_nederland_virus_maatregel_coronavirus
2020-03-12,14,13_virus_wij_moeten_weer
2020-03-12,15,8_nederland_virus_maatregel_coronavirus
2020-03-12,16,8_nederland_virus_maatregel_coronavirus
2020-03-12,17,13_virus_wij_moeten_weer
2020-03-12,18,8_nederland_virus_maatregel_coronavirus
