;country_name_short;country_name;election_date;start_date;cabinet_name;caretaker;cabinet_party;prime_minister;seats;election_seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;cabinet_id;previous_cabinet_id;party_id
1;AUS;Australia;3/30/1901;3/30/1901;Barton;1;0;0;15;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;731;996;#N/A;1253
2;AUS;Australia;3/30/1901;3/30/1901;Barton;1;0;0;26;75;FTP;Free Trade Party;Free Trade Party;6;33;731;996;#N/A;1938
3;AUS;Australia;3/30/1901;3/30/1901;Barton;1;1;1;32;75;PP;Protectionist Party;Protectionist Party;7.4;33;731;996;#N/A;1898
4;AUS;Australia;3/30/1901;3/30/1901;Barton;1;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;731;996;#N/A;1396
5;AUS;Australia;3/30/1901;3/30/1901;Barton;1;0;0;1;75;one-seat;one seat;one seat;#N/A;33;731;996;#N/A;2299
6;AUS;Australia;3/30/1901;9/24/1903;Deakin I;0;0;0;15;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;731;997;996;1253
7;AUS;Australia;3/30/1901;9/24/1903;Deakin I;0;0;0;26;75;FTP;Free Trade Party;Free Trade Party;6;33;731;997;996;1938
8;AUS;Australia;3/30/1901;9/24/1903;Deakin I;0;1;1;32;75;PP;Protectionist Party;Protectionist Party;7.4;33;731;997;996;1898
9;AUS;Australia;3/30/1901;9/24/1903;Deakin I;0;0;0;1;75;none;no party affiliation;no party affiliation;#N/A;33;731;997;996;1396
10;AUS;Australia;3/30/1901;9/24/1903;Deakin I;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;731;997;996;2299
11;AUS;Australia;12/16/1903;4/27/1904;Watson;0;1;1;23;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;730;998;997;1253
12;AUS;Australia;12/16/1903;4/27/1904;Watson;0;0;0;25;75;FTP;Free Trade Party;Free Trade Party;6;33;730;998;997;1938
13;AUS;Australia;12/16/1903;4/27/1904;Watson;0;0;0;26;75;PP;Protectionist Party;Protectionist Party;7.4;33;730;998;997;1898
14;AUS;Australia;12/16/1903;4/27/1904;Watson;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;730;998;997;2299
15;AUS;Australia;12/16/1903;8/18/1904;Reid;0;0;0;23;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;730;999;998;1253
16;AUS;Australia;12/16/1903;8/18/1904;Reid;0;1;1;25;75;FTP;Free Trade Party;Free Trade Party;6;33;730;999;998;1938
17;AUS;Australia;12/16/1903;8/18/1904;Reid;0;1;0;26;75;PP;Protectionist Party;Protectionist Party;7.4;33;730;999;998;1898
18;AUS;Australia;12/16/1903;8/18/1904;Reid;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;730;999;998;2299
19;AUS;Australia;12/16/1903;7/5/1905;Deakin II;0;0;0;23;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;730;1000;999;1253
20;AUS;Australia;12/16/1903;7/5/1905;Deakin II;0;0;0;25;75;FTP;Free Trade Party;Free Trade Party;6;33;730;1000;999;1938
21;AUS;Australia;12/16/1903;7/5/1905;Deakin II;0;1;1;26;75;PP;Protectionist Party;Protectionist Party;7.4;33;730;1000;999;1898
22;AUS;Australia;12/16/1903;7/5/1905;Deakin II;0;0;0;1;75;one-seat;one seat;one seat;#N/A;33;730;1000;999;2299
23;AUS;Australia;12/2/1906;11/13/1908;Fisher I;0;1;1;26;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;725;1001;1000;1253
24;AUS;Australia;12/2/1906;11/13/1908;Fisher I;0;0;0;27;75;FTP;Free Trade Party;Free Trade Party;6;33;725;1001;1000;1938
25;AUS;Australia;12/2/1906;11/13/1908;Fisher I;0;0;0;4;75;IPP-V;Independent Protectionist Party (Vic);Independent Protectionist Party (Vic);7.4;33;725;1001;1000;1917
26;AUS;Australia;12/2/1906;11/13/1908;Fisher I;0;0;0;16;75;PP;Protectionist Party;Protectionist Party;7.4;33;725;1001;1000;1898
27;AUS;Australia;12/2/1906;11/13/1908;Fisher I;0;0;0;2;75;WAP;Western Australian Party;Western Australian Party;6;33;725;1001;1000;1906
28;AUS;Australia;12/2/1906;6/2/1909;Deakin III;0;0;0;26;75;ALP;Australian Labor Party;Australian Labor Party;3.8833;33;725;1002;1001;1253
29;AUS;Australia;12/2/1906;6/2/1909;Deakin III;0;1;0;27;75;FTP;Free Trade Party;Free Trade Party;6;33;725;1002;1001;1938
30;AUS;Australia;12/2/1906;6/2/1909;Deakin III;0;0;0;4;75;IPP-V;Independent Protectionist Party (Vic);Independent Protectionist Party (Vic);7.4;33;725;1002;1001;1917
