month,n
2015-01,16135
2015-02,29003
2015-03,20793
2015-04,17824
2015-05,22593
2015-06,24051
2015-07,42662
2015-08,0
2015-09,29001
2015-10,11103
2015-11,24302
2015-12,27285
2016-01,16853
2016-02,24865
2016-03,21909
2016-04,30363
2016-05,16265
2016-06,25818
2016-07,25089
2016-08,1568
2016-09,18702
2016-10,18351
2016-11,16583
2016-12,16806
2017-01,12265
2017-02,0
2017-03,0
2017-04,7034
2017-05,8707
2017-06,23064
2017-07,23077
2017-08,0
2017-09,16581
2017-10,22114
2017-11,31507
2017-12,15102
2018-01,14070
2018-02,19999
2018-03,21378
2018-04,11767
2018-05,19559
2018-06,22465
2018-07,22790
2018-08,1516
2018-09,14471
2018-10,19346
2018-11,40775
2018-12,15571
2019-01,11571
2019-02,19945
2019-03,18199
2019-04,11881
2019-05,7998
2019-06,11660
2019-07,24387
2019-08,0
2019-09,13429
2019-10,5238
2019-11,18087
2019-12,21448
2020-01,13872
2020-02,17957
2020-03,17276
2020-04,9513
2020-05,13580
2020-06,16745
2020-07,20810
2020-08,0
2020-09,0
2020-10,0
2020-11,0
