month,n
2015-01,319773
2015-02,543622
2015-03,405819
2015-04,327764
2015-05,454238
2015-06,457146
2015-07,766216
2015-08,0
2015-09,513659
2015-10,214765
2015-11,484902
2015-12,492393
2016-01,331470
2016-02,470866
2016-03,438110
2016-04,521524
2016-05,314983
2016-06,504423
2016-07,472167
2016-08,33986
2016-09,367765
2016-10,323249
2016-11,300613
2016-12,301461
2017-01,213500
2017-02,0
2017-03,0
2017-04,124520
2017-05,166492
2017-06,463938
2017-07,467898
2017-08,0
2017-09,345670
2017-10,425048
2017-11,566091
2017-12,279366
2018-01,276693
2018-02,382173
2018-03,433214
2018-04,237838
2018-05,399204
2018-06,426998
2018-07,446171
2018-08,31028
2018-09,301699
2018-10,385109
2018-11,723988
2018-12,298561
2019-01,241519
2019-02,381913
2019-03,377274
2019-04,261110
2019-05,163136
2019-06,255750
2019-07,480726
2019-08,0
2019-09,287838
2019-10,98419
2019-11,380014
2019-12,421916
2020-01,280997
2020-02,356988
2020-03,344371
2020-04,188694
2020-05,288461
2020-06,351875
2020-07,429528
2020-08,0
2020-09,0
2020-10,0
2020-11,0
