month,n
2015-01,274650
2015-02,465497
2015-03,348916
2015-04,280290
2015-05,389091
2015-06,390758
2015-07,654591
2015-08,0
2015-09,439260
2015-10,184809
2015-11,416395
2015-12,418177
2016-01,283441
2016-02,402573
2016-03,376386
2016-04,444407
2016-05,270485
2016-06,433440
2016-07,405506
2016-08,29548
2016-09,316387
2016-10,275222
2016-11,255911
2016-12,257649
2017-01,182598
2017-02,0
2017-03,0
2017-04,106549
2017-05,142255
2017-06,398218
2017-07,401613
2017-08,0
2017-09,298271
2017-10,365000
2017-11,481586
2017-12,238571
2018-01,236323
2018-02,326354
2018-03,371365
2018-04,204394
2018-05,341954
2018-06,364349
2018-07,380605
2018-08,26455
2018-09,259629
2018-10,330749
2018-11,613026
2018-12,255177
2019-01,207073
2019-02,326911
2019-03,325913
2019-04,225850
2019-05,140816
2019-06,221486
2019-07,410075
2019-08,0
2019-09,248685
2019-10,83882
2019-11,326158
2019-12,359063
2020-01,240679
2020-02,305915
2020-03,293812
2020-04,159161
2020-05,246109
2020-06,301312
2020-07,369087
2020-08,0
2020-09,0
2020-10,0
2020-11,0
