month,n
2015-01,92669
2015-02,337744
2015-03,228770
2015-04,469700
2015-05,286229
2015-06,395781
2015-07,286267
2015-08,112158
2015-09,306085
2015-10,219142
2015-11,0
2015-12,0
2016-01,4594
2016-02,0
2016-03,137502
2016-04,269701
2016-05,0
2016-06,0
2016-07,2981
2016-08,94895
2016-09,50414
2016-10,179644
2016-11,202432
2016-12,219557
2017-01,38789
2017-02,271969
2017-03,381884
2017-04,80318
2017-05,332159
2017-06,119088
2017-07,79696
2017-08,26505
2017-09,248850
2017-10,279656
2017-11,347836
2017-12,83189
2018-01,0
2018-02,291031
2018-03,196961
2018-04,165374
2018-05,505308
2018-06,237001
2018-07,94807
2018-08,0
2018-09,351033
2018-10,406178
2018-11,262015
2018-12,328364
2019-01,67208
2019-02,395116
2019-03,0
2019-04,0
2019-05,3382
2019-06,0
2019-07,115638
2019-08,0
2019-09,202440
2019-10,0
2019-11,0
2019-12,7082
2020-01,129915
2020-02,317237
2020-03,133675
2020-04,280476
2020-05,265369
2020-06,505725
2020-07,199834
2020-08,0
2020-09,379404
2020-10,521886
2020-11,298595
