month,n
2015-01,2024912
2015-02,1464575
2015-03,1867704
2015-04,0
2015-05,235896
2015-06,2207923
2015-07,1557595
2015-08,0
2015-09,1046859
2015-10,1645954
2015-11,1973221
2015-12,1530876
2016-01,1870737
2016-02,1701892
2016-03,1961944
2016-04,1324947
2016-05,1307644
2016-06,1348983
2016-07,1505534
2016-08,0
2016-09,941686
2016-10,1648283
2016-11,2042227
2016-12,1512149
2017-01,1894591
2017-02,1668253
2017-03,2112827
2017-04,648874
2017-05,0
2017-06,778495
2017-07,1436653
2017-08,0
2017-09,933580
2017-10,1658354
2017-11,2065745
2017-12,1733725
2018-01,1910508
2018-02,1477888
2018-03,2194806
2018-04,1152319
2018-05,1560104
2018-06,1857602
2018-07,1656928
2018-08,0
2018-09,870009
2018-10,1639690
2018-11,1773232
2018-12,1499553
2019-01,2022614
2019-02,1761762
2019-03,2066762
2019-04,1295836
2019-05,1363476
2019-06,1539796
2019-07,1887374
2019-08,0
2019-09,869051
2019-10,2045643
2019-11,132913
2019-12,126547
2020-01,1794887
2020-02,1444160
2020-03,1797143
2020-04,386470
2020-05,857750
2020-06,1882698
2020-07,1935430
2020-08,0
2020-09,2177411
2020-10,1818743
2020-11,1880573
2020-12,1365157
2021-01,1689119
2021-02,1474469
