month,n
2013-03,44092
2013-04,180423
2013-05,244095
2013-06,355826
2013-07,667785
2013-08,182720
2013-09,310053
2013-10,486020
2013-11,272247
2013-12,249758
2014-01,496767
2014-02,523541
2014-03,343115
2014-04,468769
2014-05,267745
2014-06,332430
2014-07,781299
2014-08,355987
2014-09,256261
2014-10,525332
2014-11,314948
2014-12,234556
2015-01,470510
2015-02,335092
2015-03,409012
2015-04,431612
2015-05,294613
2015-06,380923
2015-07,528408
2015-08,105232
2015-09,400475
2015-10,581791
2015-11,246704
2015-12,326442
2016-01,392701
2016-02,434465
2016-03,404788
2016-04,334184
2016-05,340141
2016-06,303262
2016-07,426203
2016-08,195078
2016-09,247238
2016-10,365434
2016-11,342647
2016-12,97102
2017-01,286505
2017-02,318369
2017-03,429571
2017-04,294011
2017-05,355394
2017-06,238123
2017-07,400092
2017-08,93759
2017-09,280671
2017-10,349181
2017-11,151057
2017-12,351537
2018-01,1293
2018-02,0
2018-03,7126
2018-04,13650
2018-05,49155
2018-06,204362
2018-07,236141
2018-08,144628
2018-09,133521
2018-10,276059
2018-11,356356
2018-12,315067
2019-01,188797
2019-02,295837
2019-03,301733
2019-04,215852
2019-05,124892
2019-06,280391
2019-07,360995
2019-08,181722
2019-09,117830
2019-10,264224
2019-11,186168
2019-12,277488
2020-01,108441
2020-02,281587
2020-03,112285
2020-04,249791
2020-05,287727
2020-06,316433
2020-07,459353
2020-08,72907
2020-09,197855
2020-10,368178
2020-11,95915
