month,n
2015-01,696051
2015-02,669432
2015-03,924822
2015-04,1124860
2015-05,472163
2015-06,1121223
2015-07,211453
2015-08,41364
2015-09,1136244
2015-10,1055314
2015-11,1044776
2015-12,993787
2016-01,718412
2016-02,844862
2016-03,1300466
2016-04,756068
2016-05,686491
2016-06,1123787
2016-07,360483
2016-08,0
2016-09,892284
2016-10,813467
2016-11,1329939
2016-12,1022702
2017-01,495178
2017-02,984814
2017-03,195881
2017-04,445409
2017-05,662878
2017-06,781399
2017-07,298166
2017-08,0
2017-09,687752
2017-10,386297
2017-11,1363528
2017-12,1012511
2018-01,734237
2018-02,881986
2018-03,718100
2018-04,899993
2018-05,711502
2018-06,1049962
2018-07,445895
2018-08,0
2018-09,818640
2018-10,1122078
2018-11,1388340
2018-12,857684
2019-01,705760
2019-02,812323
2019-03,969172
2019-04,946504
2019-05,684080
2019-06,964263
2019-07,369261
2019-08,0
2019-09,847965
2019-10,1161966
2019-11,1295410
2019-12,1095070
2020-01,789947
2020-02,919355
2020-03,724898
2020-04,302739
2020-05,610810
2020-06,1140854
2020-07,442656
2020-08,110772
2020-09,1088458
2020-10,751679
2020-11,97228
