month,n
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,22710
2015-12,75430
2016-01,48037
2016-02,36721
2016-03,44679
2016-04,46249
2016-05,45445
2016-06,66945
2016-07,69709
2016-08,7326
2016-09,37782
2016-10,49592
2016-11,68725
2016-12,66829
2017-01,14917
2017-02,38328
2017-03,47101
2017-04,41810
2017-05,29370
2017-06,45935
2017-07,85608
2017-08,0
2017-09,55436
2017-10,39189
2017-11,51699
2017-12,83085
2018-01,44664
2018-02,25795
2018-03,42246
2018-04,21208
2018-05,36344
2018-06,49153
2018-07,74655
2018-08,0
2018-09,18124
2018-10,41094
2018-11,43075
2018-12,48229
2019-01,24935
2019-02,30393
2019-03,25142
2019-04,36460
2019-05,29060
2019-06,17947
2019-07,56477
2019-08,19726
2019-09,14733
2019-10,7916
2019-11,16145
2019-12,20598
2020-01,41499
2020-02,46579
2020-03,12877
2020-04,23408
2020-05,31757
2020-06,27039
2020-07,30593
2020-08,16687
2020-09,0
2020-10,0
2020-11,0
