month,n
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,314818
2015-12,1124999
2016-01,702685
2016-02,558037
2016-03,719051
2016-04,718563
2016-05,685660
2016-06,1026157
2016-07,1068826
2016-08,120385
2016-09,619205
2016-10,774714
2016-11,1039495
2016-12,982749
2017-01,237583
2017-02,626696
2017-03,725784
2017-04,627903
2017-05,454121
2017-06,722156
2017-07,1209577
2017-08,0
2017-09,875884
2017-10,619234
2017-11,771384
2017-12,1188078
2018-01,643674
2018-02,412098
2018-03,637257
2018-04,319207
2018-05,556467
2018-06,752150
2018-07,1103349
2018-08,0
2018-09,291726
2018-10,618713
2018-11,655861
2018-12,710228
2019-01,346879
2019-02,470254
2019-03,391680
2019-04,536950
2019-05,429432
2019-06,280697
2019-07,859550
2019-08,291999
2019-09,215969
2019-10,128659
2019-11,204974
2019-12,301516
2020-01,641533
2020-02,635130
2020-03,186537
2020-04,335649
2020-05,471058
2020-06,381241
2020-07,446391
2020-08,260169
2020-09,0
2020-10,0
2020-11,0
