month,n
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,259079
2015-12,927241
2016-01,578919
2016-02,462277
2016-03,601249
2016-04,598449
2016-05,567210
2016-06,855297
2016-07,890763
2016-08,101250
2016-09,518221
2016-10,645795
2016-11,863961
2016-12,811436
2017-01,199585
2017-02,527301
2017-03,605961
2017-04,521516
2017-05,378928
2017-06,602430
2017-07,990079
2017-08,0
2017-09,731060
2017-10,518483
2017-11,640803
2017-12,974278
2018-01,532369
2018-02,346450
2018-03,528340
2018-04,265839
2018-05,462460
2018-06,626662
2018-07,914292
2018-08,0
2018-09,244335
2018-10,515609
2018-11,547394
2018-12,589096
2019-01,286606
2019-02,392833
2019-03,328984
2019-04,446212
2019-05,355646
2019-06,235484
2019-07,718727
2019-08,244332
2019-09,179610
2019-10,109148
2019-11,167952
2019-12,250923
2020-01,535920
2020-02,524346
2020-03,153744
2020-04,277591
2020-05,391432
2020-06,314595
2020-07,371799
2020-08,217771
2020-09,0
2020-10,0
2020-11,0
