month,n
2015-01,15886
2015-02,7881
2015-03,34387
2015-04,12091
2015-05,13611
2015-06,18965
2015-07,23566
2015-08,0
2015-09,21502
2015-10,19757
2015-11,29500
2015-12,14899
2016-01,12085
2016-02,9792
2016-03,32746
2016-04,14442
2016-05,21983
2016-06,24630
2016-07,14360
2016-08,0
2016-09,19965
2016-10,17464
2016-11,34332
2016-12,22033
2017-01,15102
2017-02,15747
2017-03,15555
2017-04,16338
2017-05,22165
2017-06,12033
2017-07,19310
2017-08,0
2017-09,25381
2017-10,19074
2017-11,23774
2017-12,16175
2018-01,14092
2018-02,13490
2018-03,18201
2018-04,8425
2018-05,4201
2018-06,624
2018-07,3432
2018-08,3219
2018-09,6311
2018-10,5695
2018-11,24130
2018-12,27024
2019-01,12620
2019-02,421
2019-03,21198
2019-04,8739
2019-05,17938
2019-06,18994
2019-07,9716
2019-08,0
2019-09,11643
2019-10,28620
2019-11,28479
2019-12,15636
2020-01,10037
2020-02,0
2020-03,16829
2020-04,11407
2020-05,19820
2020-06,16663
2020-07,14608
2020-08,0
2020-09,0
2020-10,0
2020-11,0
