month,n
2015-01,357706
2015-02,160614
2015-03,739339
2015-04,269193
2015-05,292201
2015-06,412420
2015-07,520875
2015-08,0
2015-09,469717
2015-10,446807
2015-11,654541
2015-12,322454
2016-01,266457
2016-02,217834
2016-03,735323
2016-04,326470
2016-05,493136
2016-06,546050
2016-07,319558
2016-08,0
2016-09,439471
2016-10,393281
2016-11,745267
2016-12,487166
2017-01,324883
2017-02,341472
2017-03,344516
2017-04,364622
2017-05,495856
2017-06,285645
2017-07,420796
2017-08,0
2017-09,561008
2017-10,449385
2017-11,533179
2017-12,368067
2018-01,322732
2018-02,302866
2018-03,429193
2018-04,207586
2018-05,106560
2018-06,12871
2018-07,71296
2018-08,67943
2018-09,137406
2018-10,114525
2018-11,503391
2018-12,565706
2019-01,264348
2019-02,8379
2019-03,451330
2019-04,178616
2019-05,383901
2019-06,395888
2019-07,204154
2019-08,0
2019-09,240932
2019-10,587096
2019-11,573305
2019-12,313051
2020-01,197402
2020-02,0
2020-03,344720
2020-04,229173
2020-05,420929
2020-06,375378
2020-07,317727
2020-08,0
2020-09,0
2020-10,0
2020-11,0
