month,n
2015-01,308179
2015-02,137520
2015-03,636352
2015-04,232575
2015-05,251261
2015-06,353985
2015-07,448079
2015-08,0
2015-09,402913
2015-10,383948
2015-11,564632
2015-12,276006
2016-01,229512
2016-02,186771
2016-03,630717
2016-04,280710
2016-05,423079
2016-06,469716
2016-07,274985
2016-08,0
2016-09,377440
2016-10,338143
2016-11,640379
2016-12,418281
2017-01,277971
2017-02,292073
2017-03,295282
2017-04,312640
2017-05,426736
2017-06,246563
2017-07,359875
2017-08,0
2017-09,480102
2017-10,385390
2017-11,457774
2017-12,315993
2018-01,276316
2018-02,260148
2018-03,369017
2018-04,180303
2018-05,91113
2018-06,11101
2018-07,60745
2018-08,58282
2018-09,116949
2018-10,97561
2018-11,431062
2018-12,483416
2019-01,226862
2019-02,7365
2019-03,388258
2019-04,153487
2019-05,329855
2019-06,339166
2019-07,176052
2019-08,0
2019-09,207292
2019-10,503798
2019-11,490400
2019-12,267747
2020-01,169119
2020-02,0
2020-03,295393
2020-04,196902
2020-05,361636
2020-06,321341
2020-07,274502
2020-08,0
2020-09,0
2020-10,0
2020-11,0
