id	text	koronawirusem_hits
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u663	pani marszałek wysoka izbo w dniu 28 stycznia odbyło się posiedzenie komisji zdrowia na którym rozpatrzono ustawę o zmianie ustawy o państwowej inspekcji sanitarnej oraz niektórych innych ustaw druki są państwu znane druk senacki nr 52 a sejmowe nr 46 110 110 a w posiedzeniu wziął udział podsekretarz stanu janusz cieszyński ze współpracownikami z ministerstwa spraw wewnętrznych i administracji stronę biura legislacyjnego reprezentowała iwona kozerarytel w posiedzeniu wzięła także udział strona społeczna tj pan marek wójcik ze związku miast polskich bartłomiej zydel ze związku miast polskich i przedstawicielka naczelnej izby lekarskiej milena dobrzyńska był też reprezentowany mon w osobach pana krzysztofa kogińskiego i tadeusza wierzbińskiego a także mswia… i tu jest dosyć niewyraźne nazwisko maciej lekki przepraszam jeśli przekręciłam byli także cezary zaremba z ministerstwa administracji spraw wewnętrznych i mariusz cichoński ustawa ta ma na celu zmianę struktury organizacyjnej państwowej inspekcji sanitarnej a także zwiększenie roli koordynacyjnonadzorczej głównego inspektora sanitarnego podsekretarz stanu w ministerstwie zdrowia janusz cieszyński omówił procedowaną ustawę i przedstawił stanowisko rządu w tej sprawie przedstawicielka biura legislacyjnego iwona kozerarytel zgłosiła uwagi o charakterze legislacyjnym i technicznoredakcyjnym ja zgłosiłam wniosek o odrzucenie ustawy w całości motywowałam to po pierwsze niezgodnością z konstytucją chodzi przede wszystkim o tryb uchwalenia zmian – ograniczenia wynikają z art 118 ust 3 i art 119 konstytucji po drugie biuro legislacyjne zmasakrowało ustawę – w 10 punktach wykazało wady legislacyjne wymagające poprawy po trzecie brak konsultacji z samorządowcami podczas procedowania w sejmie po czwarte ustawa nie ma aspektu społecznego wprowadza chaos w dobrze funkcjonującej instytucji a co jest najgorsze pogorszenie koordynacji w obliczu zagrożenia koronawirusem wydaje się kompletnie bez sensu ten koronawirus może się w polsce pojawić i może być tak że kiedy ta ustawa będzie wdrażana jego aktywność będzie szczytowa oby się nie pojawił i jeszcze jedna rzecz likwidacja pionu ministerstwa spraw wewnętrznych w zakresie inspekcji sanitarnej co w sytuacji zagrożenia jakąkolwiek epidemią wydaje się bez sensu komisja wnosi o odrzucenie ustawy mniejszość komisji zgłosiła wniosek o przyjęcie ustawy bez poprawek dziękuję bardzo	1
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u665	pani marszałek wysoka izbo mniejszość zgłosiła wniosek o przyjęcie ustawy bez poprawek kierując się tym że ta ustawa ma wprowadzić szybsze działania i szybsze przekazywanie informacji w związku z tym że… część podmiotów medycznych dostała informację odnośnie do zagrożenia koronawirusem w dniu 31 stycznia a część – 3 lutego żeby uniknąć takiego chaosu właśnie w obliczu zagrożenia epidemią… jeżeli będzie wprowadzone ujednolicone przekazywanie tych informacji i podległość jest szansa na działanie szybsze i skuteczniejsze to jest jedno inną sprawą było to że uwagi biura legislacyjnego dotyczyły niezgodności z konstytucją myślę że akurat nie biuro legislacyjne jest od orzekania o zgodności czy niezgodności z konstytucją bo to są działania trybunału konstytucyjnego	1
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u669	ja mam pytanie do pani senator orzechowskiej jedno krótkie pytanie czy ta ustawa jeżeli wejdzie w życie ograniczy rolę samorządów jeśli chodzi o wpływ np na inspektora sanitarnego powiatowego mnie się to kojarzy z taką centralizacją pani oczywiście powiedziała że wszystko będzie działało lepiej ale nie wydaje mi się że tak będzie sytuacja zagrożenia koronawirusem o czym mówiła pani senator sprawozdawca pani prof alicja chybicka… no nie jest to dobry moment na wprowadzanie jakichkolwiek zmian bo nie wiadomo jak sytuacja się rozwinie i nie możemy tego problemu zamiatać pod dywan w chwili obecnej chciałabym zapytać konkretnie o wpływ na ograniczenie roli samorządów terytorialnych bardzo proszę o odpowiedź	1
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u679	szanowna pani marszałek wysoka izbo dosłownie kilka słów na temat tego projektu i gorące poparcie ze strony rządu stanowiska prezentowanego przez panią senator orzechowską czyli prosimy o przyjęcie tego projektu szanowni państwo absolutnie nie ma żadnego powodu żeby teraz łączyć te 2 kwestie czyli projekt pionizacji i profesjonalizacji państwowej inspekcji sanitarnej z koronawirusem ja naprawdę bardzo gorąco apeluję do wszystkich przedstawicieli opozycji żeby teraz tak jak… zresztą to jest jakiś taki przypadek że poprzednio w trakcie obrad komisji na temat tego właśnie projektu przedstawiciele platformy obywatelskiej na sejmowym korytarzu straszyli polaków koronawirusem dzisiaj obradujemy w sali plenarnej i znowu jest straszenie koronawirusem	3
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u702	dziękuję bardzo panie ministrze powiem coś niepopularnego tutaj główny zarzut jest o niekonstytucyjność trybu uchwalania tej ustawy no i oczywiście to jest bardzo ważny zarzut ale gdyby w tej ustawie były zapisy które prowadzą do tego że rzeczywiście profesjonaliści poczuliby się pewniej lekarze i pacjenci to… dobro chorego największym prawem przynajmniej lekarze mieliby tutaj dylemat co postawić na pierwszym miejscu ale ta ustawa wcale nie naprawia stanu który jest obecnie ponieważ obecny stan jest dobry lepsze jest wrogiem dobrego szczególnie w medycynie należy postępować ostrożnie ja mam takie pytania jedno to tylko takie stwierdzenie że jeżeli nie inspekcja sanitarna ma coś wspólnego z koronawirusem – bo tak pan minister powiedział że zmiana tej ustawy nie ma z nim nic wspólnego – no to kto ma jaka inna instytucja odpowiada za ochronę kraju przed koronawirusem jeśli nie sanepid jeżeli nie służby które to kontrolują tak że jak najbardziej ma coś wspólnego to jest bardzo istotna zmiana w bardzo nieciekawym momencie oczywiście wszyscy mówią nie straszyć dobrze nie straszymy ale sam pan minister podczas prac komisji zdrowia przyznał że kierując tę ustawę do sejmu w grudniu nie wiedzieliście państwo o tym że epidemia się zbliża że może wystąpić że taki wirus istnieje jest to ustawa do przeprowadzenia państwo rządzicie macie do tego prawo chcecie inaczej to wykonać ale moje pytanie dotyczy tego czy jednak nie pojawia się pomysł aby odroczyć wprowadzenie tej ustawy w życie ze względu na to co się dzieje choćby po to żeby inspekcja która pewnie sobie poradzi z tym wirusem – i nie tylko nasz kraj sobie poradzi inne również sobie poradzą – w jakiś sposób który pozwoli nam na wprowadzenie takich zmian… będziemy już wtedy nauczeni doświadczeniem i to pozwoli rzeczywiście może napisać ustawę w podobny sposób jak państwo a może coś tam zmienić na lepsze ale w tej chwili zmiany… ja pracuję w szpitalu ja wiem że kiedy 4 karetki przyjeżdżają na sor to lepiej tam nie przeprowadzać zmian lekarzy podległości tego kto jest ordynatorem kto jest zastępcą kto zleca leki a kto będzie…	2
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u708	pani marszałek wysoka izbo pozwolę sobie nie zgodzić się – podobnie było na posiedzeniu komisji – z tym co powiedział pan minister państwowa inspekcja sanitarna jest instytucją z dużymi tradycjami znakomicie przetrwała epidemie które do tej pory nas dotykały – epidemie wirusa h1n1 ptasiej grypy sars mers i inne w obliczu ogłoszonego przez światową organizację zdrowia zagrożenia pandemią koronawirusem czy to się komuś podoba czy nie… boże daj żeby tego nie było ale to się może zdarzyć i nie jest to wirus taki jak te poprzednie ja jestem głęboko przekonana że państwowa inspekcja sanitarna da sobie radę – izolacja zapobieganie roznoszeniu tego zakażenia – podobnie jak przy tych poprzednich infekcjach da sobie radę pod warunkiem że teraz nie będzie się mieszać w tym co ona robi i jak jest zorganizowana nie będzie się narzucać niczego nowego samorządom bo one na swoim terenie też dadzą sobie radę – na pewno potrafią zorganizować to tak jak należy kierujący państwową inspekcją sanitarną jarosław pinkas – szkoda że go nie ma – na pewno też by powiedział że nie ma w tej chwili takiej potrzeby aby dokonywać tego typu zmian zresztą to w pytaniach zostało wyrażone… ja jako lekarz chciałabym jednak wrócić do kwestii zakażenia koronawirusem – to jest wirus szczególny – ale nie po to żeby kogokolwiek straszyć tylko po to żeby… mam nadzieję że nie ma na sali osób które za chwilę ze strachu uciekną przed koronawirusem albo przed tym co ja powiem to jest wirus szczególny który przeniósł się na ludzi z nietoperzy takiego wirusa do tej pory nie było on jest wrażliwy na środki chemiczne i bardzo ważna jest ta część działań którą zabezpiecza państwowa inspekcja sanitarna edukacja społeczeństwa izolacja kontaktów proste mycie rak… moim zdaniem ta sytuacja – to nie jest temat na dzisiejsze posiedzenie – może się stać po prostu dramatyczna w momencie kiedy zachorują osoby które są w immunosupresji osoby 65 osoby które są w stanie niepełnej sprawności swojego układu odpornościowego dlaczego dlatego że funkcjonowanie tego wirusa który naprawdę ma taką koronę coś jak promienie słoneczne jeśli popatrzymy w mikroskopie elektronowym skaningowym… ta korona pozwala mu się przyczepić do pęcherzyków płucnych co powoduje ich zniszczenie mówiąc prosto ja zadałam takie pytania i ponownie zwracam się do ministerstwa zdrowia o odpowiedź na te pytania odpowiedź na piśmie czy jest dostateczna liczba respiratorów na oddziałach zakaźnych przecież nie zabierze się ich innym chorym nie odetnie się nikogo od respiratora i nie zaciągnie na oddział zakaźny w przypadku zakażenia… to samo pytanie dotyczy płucoserca ta choroba przebiega tak że w pierwszym etapie można wspomóc chorego respiratorem ale potem trzeba przejść na płucoserce i pompować do chorego natlenioną krew czy one są na oddziałach zakaźnych bo te które stoją na torakochirurgiach i kardiochirurgach służą pacjentom tam są wykorzystywane te aparaty mam nadzieję że odpowiedzi na te pytania uzyskam i to jest tyle co chciałam powiedzieć z punktu widzenia lekarza dla mnie naprawdę najważniejsze jest życie ludzkie panie ministrze to nie jest moment żeby mieszać w tej ustawie ja nie mówię że pionizacja i zrównanie działania samorządów jest rzeczą złą ale nie robi się tego w sytuacji takiego zagrożenia dziękuję bardzo	3
ParlaMint-PL_2020-02-13-sejm-05-2.txt:ParlaMint-PL_2020-02-13-sejm-05-2.u135	dziękuję bardzo pani minister kolejne pytanie zadadzą panowie posłowie grzegorz lorek i marek polak pytanie w sprawie zagrożenia śmiertelnym koronawirusem jest skierowane oczywiście do ministra zdrowia proszę bardzo	1
ParlaMint-PL_2020-02-13-sejm-05-2.txt:ParlaMint-PL_2020-02-13-sejm-05-2.u140	szanowny panie marszałku wysoka izbo rzeczywiście problem występowania koronawirusa jest problemem który jest przedmiotem analiz różnych instytucji chciałabym w imieniu rządu polskiego zapewnić państwa że jesteśmy przygotowani na bieżąco współpracujemy z wszelkimi z agendami światowej organizacji zdrowia jak również z wszelkimi instytucjami europejskimi które również zajmują się tym tematem my wykonujemy to w związku z tym że światowa organizacja zdrowia uznała że jest to zagrożenie transgraniczne to zobowiązuje również polski rząd do uruchomienia procedur nie tylko tych procedur które są określone i działają na terenie naszego kraju w przypadku zagrożenia epidemiologicznego ale również procedur międzynarodowych instytucją która została przez rząd wyznaczona do nadzoru koordynowania prac związanych z ewentualnym rozprzestrzenianiem się koronawirusa jest główny inspektor sanitarny który nadzoruje całość działań związanych z profilaktyką ochroną polskiej ludności również monitorowane są zasoby jeżeli chodzi o możliwości naszego kraju w przypadku pojawienia się zagrożenia w większej skali jeżeli chodzi o aktualne dane dotyczące działań jakie podejmujemy w naszym kraju związanych z epidemią wywołaną koronawirusem to aktualnie nadzorem epidemiologicznym w naszym kraju objęte są 1643 osoby 14 osób jest objętych kwarantanną a 48 w tym 35 osób które wróciły wuhan jest obecnie hospitalizowanych obecnie wiemy że w prowincji hubei przebywa jeden polak który nie chce wracać do naszego kraju natomiast służby ministerstwa spraw zagranicznych mają z nim kontakt z informacji uzyskanych z ministerstwa spraw zagranicznych wiemy że na terenie chin przebywa jeszcze ok 6001000 osób narodowości polskiej ambasada polska jest w kontakcie z tymi osobami jeżeli te osoby zechciałyby wracać do kraju to zawsze taka pomoc będzie im udzielana według stanu na dzisiaj można powiedzieć że brak jest potwierdzonych przypadków koronawiurusa w polsce wykonujemy w tej chwili badania które wykluczyły dotychczas stwierdzenie zarażenia koronawirusem od osób które miały kontakt z osobami przebywającymi w chinach bądź też same tam były przeprowadzamy testy oparte na mrna czyli dokładnie te testy o które pan poseł tutaj pytał obecnie te testy są wykonywane w narodowym instytucie zdrowia publicznego państwowym zakładzie higieny te testy dostarczają nam pełnej informacji na temat ewentualnej obecności tego wirusa u osób które mogły mieć kontakt z osobami zarażonymi jeżeli chodzi o zasoby to my na bieżąco analizujemy kwestie dostępności łóżek zakaźnych w naszym kraju wszystkie szpitale zostały powiadomione poprzez głównego inspektora sanitarnego o trybie postępowania zostały wdrożone odpowiednie procedury również analizujemy nasze zasoby pod względem liczby łóżek intensywnej terapii możliwości wspomagania oddychania aparatów ecmo mamy dokładną bazę danych gdzie i jaki sprzęt występuje należy pamiętać też o tym że jest centralna baza rezerw materiałowych w której też mamy spore zapasy na wypadek zagrożenia naszego kraju tak że te wszystkie kwestie są na bieżąco monitorowane chcę przypomnieć że główny inspektor sanitarny wydał też odpowiednie dyspozycje które obowiązują w miejscach przylotu pasażerów do naszego kraju czyli na lotniskach obowiązują procedury zgodnie z którymi te osoby które mogły mieć kontakt z koronawirusem są identyfikowane są monitorowane tak że na bieżąco minister zdrowia analizuje sytuację ponadto monitorujemy też zasoby leków antywirusowych które mamy do dyspozycji te leki również mamy w rezerwach materiałowych w związku z tym rząd polski ma pod kontrolą całokształt zagrożeń związanych z ewentualnym rozprzestrzenianiem się tego wirusa jeszcze na koniec chciałabym podkreślić że zespoły ratownictwa medycznego również są wyposażone w odpowiednie sprzęty mamy dokładne dane która stacja pogotowia ratunkowego który zespół dysponuje środkami ochrony jakimi rodzajami środków ochrony osobistej dysponuje po to aby w przypadku pojawienia się zagrożenia można było dysponować zespołami przygotowanymi do tego celu tak że chciałabym podkreślić że mimo tego że na terenie naszego kraju obecnie nie zidentyfikowaliśmy obecności koronawirusa jesteśmy w gotowości wszystkie służby działają według określonych procedur obowiązujących w takich przypadkach należy mieć świadomość dzwonek że w pewnym momencie ten wirus w naszym kraju zapewne się pojawi na tę okoliczność mamy przygotowane zarówno służby medyczne oraz sanitarne jak i zasoby które powinny być wykorzystywane w takich sytuacjach oklaski	3
ParlaMint-PL_2020-02-13-sejm-05-2.txt:ParlaMint-PL_2020-02-13-sejm-05-2.u1053	szanowna pani marszałek wysoka izbo panie premierze w imieniu komisji zdrowia mam zaszczyt przedstawić sprawozdanie komisji dotyczące uchwały senatu w sprawie ustawy o zmianie ustawy o państwowej inspekcji sanitarnej oraz niektórych innych ustaw druki nr 212 i 237 komisja po swoim posiedzeniu rekomenduje odrzucenie uchwały senatu odrzucającej ustawę z dnia 23 stycznia 2020 r o zmianie ustawy o państwowej inspekcji sanitarnej oraz niektórych innych ustaw szanowni państwo ta decyzja senatu musi budzić zdziwienie zwłaszcza w kontekście tego co obserwowaliśmy w ostatnich dniach min na wniosek posłów opozycji dyskutowaliśmy w tym tygodniu na temat zagrożeń związanych z koronawirusem to doskonały przykład szanowni państwo na to że warto było przyjąć tę ustawę warto było wprowadzić pionizację w inspekcji sanitarnej mam nadzieję że cała sala uwzględni tę sytuację i będzie głosować za odrzuceniem uchwały senatu dziękuję oklaski	1
ParlaMint-PL_2020-02-13-sejm-05-2.txt:ParlaMint-PL_2020-02-13-sejm-05-2.u1118	pani marszałek wysoka izbo ta ustawa rodzi wiele pytań w tym pytania o to dlaczego skoro już zdecydowaliście się co dzisiaj bardzo szczerze i brutalnie było przyznawane na posiedzeniu komisji łączności z polakami za granicą odbierać środki na polonię senatowi to dlaczego na litość boską nie skumulowaliście tego w jednym ręku w ręku pana ministra dziedziczaka tylko rozproszyliście po wielu ministerstwach i urzędach to będzie totalnie nieefektywne i nie będzie priorytetowe to jest pytanie o sprawność tej administracji rządowej która jest przemodelowywana według klucza partyjnego a nie kompetencyjnego jest obawa chociażby o to co dzieje się teraz z koronawirusem w chinach amerykanie tworzą 11 stref przy lotniskach które mają izolować tych którzy ewentualnie będą docierać chorzy mamy gwałtowny wzrost liczby zachorowań w chinach jak to się ma do tego że dzisiaj 10 lat po katastrofie smoleńskiej obserwujemy ten sam horror ten sam serial który stał się przyczyną tej katastrofy 10 lat temu spór między pałacem prezydenckim a urzędem premiera o to kto organizuje uroczystości dzwonek to jest miara porażki państwa polskiego	1
