id	text	koronawirusem_hits	koronawirus_hits
ParlaMint-PL_2020-01-22-sejm-04-1.txt:ParlaMint-PL_2020-01-22-sejm-04-1.u192	panie marszałku panie ministrze wysoka izbo oczywiście trudno tutaj odnosić się do słów mojego przedmówcy albowiem ta postawa  totalny defetyzm czarnowidztwo i krytykanctwo  staje się już groteską trudno się poważnie odnosić do takich argumentów w imieniu klubu parlamentarnego prawo i sprawiedliwość mam zaszczyt przedstawić opinię w sprawie zmiany ustawy o państwowej inspekcji sanitarnej druki nr 46 i 110 można na wstępie stwierdzić najwyższy czas nareszcie nastąpi powrót państwowej inspekcji sanitarnej do zarządzania hierarchicznego dojdzie do przywrócenia funkcjonalnego podporządkowania merytorycznego wszystko po to by usprawnić ujednolicić i uporządkować funkcjonowanie państwowej inspekcji sanitarnej w celu skutecznego lepiej skoordynowanego nadzoru w zakresie zdrowia publicznego wszak chodzi o zdrowie i życie obywateli albowiem wszelkie decyzje w chwili zagrożenia epidemiologicznego bądź innych zagrożeń muszą być podejmowane bezzwłocznie spójnie profesjonalnie i efektywnie współczesna państwowa inspekcja sanitarna to już nie tylko zapewnienie bezpieczeństwa żywienia i żywności warunków higienicznosanitarnych dotyczących personelu sprzętu oraz pomieszczeń medycznych to nie tylko profilaktyka chorób czy też nadzór nad warunkami w kwestii higieny środowiska w zakładach pracy higieny radiacyjnej procesów nauczania i wychowania czy też higieny wypoczynku i rekreacji to także a może nade wszystko współczesne wyzwania współdziałanie z innymi służbami w kwestii afrykańskiego pomoru świń ognisk ptasiej grypy i świńskiej grypy zapobieganie gruźlicy wielolekoopornej i koinfekcji gruźlicy i hiv te wyzwania to borelioza która jawi się problemem xxi w a także zapobieganie skażenia wody bakterią legionellą w instalacjach wodociągowych a propos legionelli czy państwo wiecie że od wielu lat nie ma ciepłej wody w budynkach parlamentu europejskiego ani w strasburgu ani w brukseli być może nie mają tak sprawnych i profesjonalnych służb sanitarnych jak my w polsce współczesne wyzwanie sanepidu to także możliwość wystąpienia działań o charakterze bioterroryzmu a także obecne zagrożenia koronawirusem z chin który przy tak swobodnym przemieszczaniu się osób teraz może też przedostać się do europy dzisiejszy sanepid widzi także nowe zagrożenia związane z epapierosami to także problem dotyczący tzw dopalaczy aktualnie sanepid musi zwielokrotnić wytężyć swoje wysiłki w kwestii spadku poziomu wyszczepialności w polsce dość powiedzieć że w latach 20102018 liczba osób które odmówiły szczepień profilaktycznych wzrosła z 3 tys do 40 tys panie marszałku jedynie pionowa struktura umożliwi ministrowi zdrowia sprawowanie skutecznego nadzoru w zakresie zdrowia publicznego oraz podejmowanie decyzji umożliwiających bezzwłoczne i adekwatne do zagrożenia działania służb sanitarnoepidemiologicznych w całym kraju skąd o tym wiemy po pierwsze z kilkunastoletniego doświadczenia mieliśmy przykład niespójnego nieskoordynowanego funkcjonowania w zakresie kompetencji organizacji państwowej inspekcji sanitarnej po drugie takie są oczekiwania pracowników organów państwowej inspekcji sanitarnej związku pracodawców rzeczypospolitej polskiej zespołu trójstronnego ds ochrony zdrowia rady branżowej pracowników inspekcji sanitarnej rady sanitarnoepidemiologicznej i innych chodzi o jasne zasady powoływania i odwoływania wojewódzkiego inspektora sanitarnego i powiatowego inspektora sanitarnego jednocześnie inspektorów państwowej inspekcji sanitarnej będzie obowiązywać złożenie oświadczenia że nie współpracowali z organami bezpieczeństwa prlu należy także uregulować zasady jeśli chodzi o wykonywanie dodatkowych zajęć zarobkowych przez państwowych inspektorów sanitarnych i ich zastępców w tym momencie pragnę serdecznie podziękować wszystkim pracownikom państwowej inspekcji sanitarnej że pomimo niedogodności organizacyjnych znacznych problemów w nadzorze na poszczególnych szczeblach władzy oraz niezbyt satysfakcjonujących poprzednich uposażeń potrafili odpowiedzialnie merytorycznie i z wielkim zaangażowaniem pracować na rzecz bezpieczeństwa zdrowia publicznego a z okazji jubileuszu 100lecia służb sanitarnych i 65lecia powstania państwowej inspekcji sanitarnej obchodzonego kilka miesięcy temu chciałbym złożyć państwu wszystkim pracownikom i waszym rodzinom życzenia wszelkiej pomyślności panie marszałku panie ministrze wysoki sejmie klub parlamentarny prawo i sprawiedliwość popiera projekt ustawy o zmianie ustawy państwowej inspekcji sanitarnej jednocześnie składa poprawki dotyczące doprecyzowania kwestii odnośnie do głównego inspektora sanitarnego wojska polskiego i oświadczeń lustracyjnych oraz nadzoru przez głównego inspektora sanitarnego zadań realizowanych przez państwową inspekcję sanitarną służb mundurowych	1	0
ParlaMint-PL_2020-01-22-sejm-04-1.txt:ParlaMint-PL_2020-01-22-sejm-04-1.u214	panie marszałku panie ministrze wysoka izbo zacznę od pytania jak czasu starczy to postaram się uzasadnić pierwsze podstawowe pytanie panie ministrze czy wobec informacji które w ciągu ostatnich 2 dni dotarły do polski o zagrożeniu epidemiologicznym nowym koronawirusem który podobnie jak sars może zabić tysiące ludzi a jego rozprzestrzenianie jest zawsze tajemnicą dopóki nie wystąpi gdybyśmy w takiej sytuacji mieli taki system ogólnokrajowej koordynacji zabezpieczenia przed rozwojem epidemii która w nieprzewidywalny sposób może być prawdziwym zagrożeniem dla tysięcy ludzi to czy podwyższyłoby to poziom zabezpieczenia naszych obywateli w polsce  w każdym miejscu i w polsce a teraz krótko uzasadniając proszę państwa właściwie chciałem nawiązać do kiedyś tam wypowiedzianej przez posła brauna myśli kompetencja powinna przeważać chodzi o kompetencję i nie wypowiadajmy się w sprawach tak ważnych dla obywateli dzwonek jeżeli widzimy to bardzo krótkowzrocznie i nie znając się na rzeczy tutaj jestem za absolutnie jasną kompetencją rządową od góry do dołu bo tylko to może nas uratować dziękuję bardzo oklaski	1	0
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u663	pani marszałek wysoka izbo w dniu 28 stycznia odbyło się posiedzenie komisji zdrowia na którym rozpatrzono ustawę o zmianie ustawy o państwowej inspekcji sanitarnej oraz niektórych innych ustaw druki są państwu znane druk senacki nr 52 a sejmowe nr 46 110 110 a w posiedzeniu wziął udział podsekretarz stanu janusz cieszyński ze współpracownikami z ministerstwa spraw wewnętrznych i administracji stronę biura legislacyjnego reprezentowała iwona kozerarytel w posiedzeniu wzięła także udział strona społeczna tj pan marek wójcik ze związku miast polskich bartłomiej zydel ze związku miast polskich i przedstawicielka naczelnej izby lekarskiej milena dobrzyńska był też reprezentowany mon w osobach pana krzysztofa kogińskiego i tadeusza wierzbińskiego a także mswia… i tu jest dosyć niewyraźne nazwisko maciej lekki przepraszam jeśli przekręciłam byli także cezary zaremba z ministerstwa administracji spraw wewnętrznych i mariusz cichoński ustawa ta ma na celu zmianę struktury organizacyjnej państwowej inspekcji sanitarnej a także zwiększenie roli koordynacyjnonadzorczej głównego inspektora sanitarnego podsekretarz stanu w ministerstwie zdrowia janusz cieszyński omówił procedowaną ustawę i przedstawił stanowisko rządu w tej sprawie przedstawicielka biura legislacyjnego iwona kozerarytel zgłosiła uwagi o charakterze legislacyjnym i technicznoredakcyjnym ja zgłosiłam wniosek o odrzucenie ustawy w całości motywowałam to po pierwsze niezgodnością z konstytucją chodzi przede wszystkim o tryb uchwalenia zmian – ograniczenia wynikają z art 118 ust 3 i art 119 konstytucji po drugie biuro legislacyjne zmasakrowało ustawę – w 10 punktach wykazało wady legislacyjne wymagające poprawy po trzecie brak konsultacji z samorządowcami podczas procedowania w sejmie po czwarte ustawa nie ma aspektu społecznego wprowadza chaos w dobrze funkcjonującej instytucji a co jest najgorsze pogorszenie koordynacji w obliczu zagrożenia koronawirusem wydaje się kompletnie bez sensu ten koronawirus może się w polsce pojawić i może być tak że kiedy ta ustawa będzie wdrażana jego aktywność będzie szczytowa oby się nie pojawił i jeszcze jedna rzecz likwidacja pionu ministerstwa spraw wewnętrznych w zakresie inspekcji sanitarnej co w sytuacji zagrożenia jakąkolwiek epidemią wydaje się bez sensu komisja wnosi o odrzucenie ustawy mniejszość komisji zgłosiła wniosek o przyjęcie ustawy bez poprawek dziękuję bardzo	1	1
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u665	pani marszałek wysoka izbo mniejszość zgłosiła wniosek o przyjęcie ustawy bez poprawek kierując się tym że ta ustawa ma wprowadzić szybsze działania i szybsze przekazywanie informacji w związku z tym że… część podmiotów medycznych dostała informację odnośnie do zagrożenia koronawirusem w dniu 31 stycznia a część – 3 lutego żeby uniknąć takiego chaosu właśnie w obliczu zagrożenia epidemią… jeżeli będzie wprowadzone ujednolicone przekazywanie tych informacji i podległość jest szansa na działanie szybsze i skuteczniejsze to jest jedno inną sprawą było to że uwagi biura legislacyjnego dotyczyły niezgodności z konstytucją myślę że akurat nie biuro legislacyjne jest od orzekania o zgodności czy niezgodności z konstytucją bo to są działania trybunału konstytucyjnego	1	0
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u669	ja mam pytanie do pani senator orzechowskiej jedno krótkie pytanie czy ta ustawa jeżeli wejdzie w życie ograniczy rolę samorządów jeśli chodzi o wpływ np na inspektora sanitarnego powiatowego mnie się to kojarzy z taką centralizacją pani oczywiście powiedziała że wszystko będzie działało lepiej ale nie wydaje mi się że tak będzie sytuacja zagrożenia koronawirusem o czym mówiła pani senator sprawozdawca pani prof alicja chybicka… no nie jest to dobry moment na wprowadzanie jakichkolwiek zmian bo nie wiadomo jak sytuacja się rozwinie i nie możemy tego problemu zamiatać pod dywan w chwili obecnej chciałabym zapytać konkretnie o wpływ na ograniczenie roli samorządów terytorialnych bardzo proszę o odpowiedź	1	0
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u679	szanowna pani marszałek wysoka izbo dosłownie kilka słów na temat tego projektu i gorące poparcie ze strony rządu stanowiska prezentowanego przez panią senator orzechowską czyli prosimy o przyjęcie tego projektu szanowni państwo absolutnie nie ma żadnego powodu żeby teraz łączyć te 2 kwestie czyli projekt pionizacji i profesjonalizacji państwowej inspekcji sanitarnej z koronawirusem ja naprawdę bardzo gorąco apeluję do wszystkich przedstawicieli opozycji żeby teraz tak jak… zresztą to jest jakiś taki przypadek że poprzednio w trakcie obrad komisji na temat tego właśnie projektu przedstawiciele platformy obywatelskiej na sejmowym korytarzu straszyli polaków koronawirusem dzisiaj obradujemy w sali plenarnej i znowu jest straszenie koronawirusem	3	0
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u702	dziękuję bardzo panie ministrze powiem coś niepopularnego tutaj główny zarzut jest o niekonstytucyjność trybu uchwalania tej ustawy no i oczywiście to jest bardzo ważny zarzut ale gdyby w tej ustawie były zapisy które prowadzą do tego że rzeczywiście profesjonaliści poczuliby się pewniej lekarze i pacjenci to… dobro chorego największym prawem przynajmniej lekarze mieliby tutaj dylemat co postawić na pierwszym miejscu ale ta ustawa wcale nie naprawia stanu który jest obecnie ponieważ obecny stan jest dobry lepsze jest wrogiem dobrego szczególnie w medycynie należy postępować ostrożnie ja mam takie pytania jedno to tylko takie stwierdzenie że jeżeli nie inspekcja sanitarna ma coś wspólnego z koronawirusem – bo tak pan minister powiedział że zmiana tej ustawy nie ma z nim nic wspólnego – no to kto ma jaka inna instytucja odpowiada za ochronę kraju przed koronawirusem jeśli nie sanepid jeżeli nie służby które to kontrolują tak że jak najbardziej ma coś wspólnego to jest bardzo istotna zmiana w bardzo nieciekawym momencie oczywiście wszyscy mówią nie straszyć dobrze nie straszymy ale sam pan minister podczas prac komisji zdrowia przyznał że kierując tę ustawę do sejmu w grudniu nie wiedzieliście państwo o tym że epidemia się zbliża że może wystąpić że taki wirus istnieje jest to ustawa do przeprowadzenia państwo rządzicie macie do tego prawo chcecie inaczej to wykonać ale moje pytanie dotyczy tego czy jednak nie pojawia się pomysł aby odroczyć wprowadzenie tej ustawy w życie ze względu na to co się dzieje choćby po to żeby inspekcja która pewnie sobie poradzi z tym wirusem – i nie tylko nasz kraj sobie poradzi inne również sobie poradzą – w jakiś sposób który pozwoli nam na wprowadzenie takich zmian… będziemy już wtedy nauczeni doświadczeniem i to pozwoli rzeczywiście może napisać ustawę w podobny sposób jak państwo a może coś tam zmienić na lepsze ale w tej chwili zmiany… ja pracuję w szpitalu ja wiem że kiedy 4 karetki przyjeżdżają na sor to lepiej tam nie przeprowadzać zmian lekarzy podległości tego kto jest ordynatorem kto jest zastępcą kto zleca leki a kto będzie…	2	0
ParlaMint-PL_2020-02-05-senat-04-1.txt:ParlaMint-PL_2020-02-05-senat-04-1.u708	pani marszałek wysoka izbo pozwolę sobie nie zgodzić się – podobnie było na posiedzeniu komisji – z tym co powiedział pan minister państwowa inspekcja sanitarna jest instytucją z dużymi tradycjami znakomicie przetrwała epidemie które do tej pory nas dotykały – epidemie wirusa h1n1 ptasiej grypy sars mers i inne w obliczu ogłoszonego przez światową organizację zdrowia zagrożenia pandemią koronawirusem czy to się komuś podoba czy nie… boże daj żeby tego nie było ale to się może zdarzyć i nie jest to wirus taki jak te poprzednie ja jestem głęboko przekonana że państwowa inspekcja sanitarna da sobie radę – izolacja zapobieganie roznoszeniu tego zakażenia – podobnie jak przy tych poprzednich infekcjach da sobie radę pod warunkiem że teraz nie będzie się mieszać w tym co ona robi i jak jest zorganizowana nie będzie się narzucać niczego nowego samorządom bo one na swoim terenie też dadzą sobie radę – na pewno potrafią zorganizować to tak jak należy kierujący państwową inspekcją sanitarną jarosław pinkas – szkoda że go nie ma – na pewno też by powiedział że nie ma w tej chwili takiej potrzeby aby dokonywać tego typu zmian zresztą to w pytaniach zostało wyrażone… ja jako lekarz chciałabym jednak wrócić do kwestii zakażenia koronawirusem – to jest wirus szczególny – ale nie po to żeby kogokolwiek straszyć tylko po to żeby… mam nadzieję że nie ma na sali osób które za chwilę ze strachu uciekną przed koronawirusem albo przed tym co ja powiem to jest wirus szczególny który przeniósł się na ludzi z nietoperzy takiego wirusa do tej pory nie było on jest wrażliwy na środki chemiczne i bardzo ważna jest ta część działań którą zabezpiecza państwowa inspekcja sanitarna edukacja społeczeństwa izolacja kontaktów proste mycie rak… moim zdaniem ta sytuacja – to nie jest temat na dzisiejsze posiedzenie – może się stać po prostu dramatyczna w momencie kiedy zachorują osoby które są w immunosupresji osoby 65 osoby które są w stanie niepełnej sprawności swojego układu odpornościowego dlaczego dlatego że funkcjonowanie tego wirusa który naprawdę ma taką koronę coś jak promienie słoneczne jeśli popatrzymy w mikroskopie elektronowym skaningowym… ta korona pozwala mu się przyczepić do pęcherzyków płucnych co powoduje ich zniszczenie mówiąc prosto ja zadałam takie pytania i ponownie zwracam się do ministerstwa zdrowia o odpowiedź na te pytania odpowiedź na piśmie czy jest dostateczna liczba respiratorów na oddziałach zakaźnych przecież nie zabierze się ich innym chorym nie odetnie się nikogo od respiratora i nie zaciągnie na oddział zakaźny w przypadku zakażenia… to samo pytanie dotyczy płucoserca ta choroba przebiega tak że w pierwszym etapie można wspomóc chorego respiratorem ale potem trzeba przejść na płucoserce i pompować do chorego natlenioną krew czy one są na oddziałach zakaźnych bo te które stoją na torakochirurgiach i kardiochirurgach służą pacjentom tam są wykorzystywane te aparaty mam nadzieję że odpowiedzi na te pytania uzyskam i to jest tyle co chciałam powiedzieć z punktu widzenia lekarza dla mnie naprawdę najważniejsze jest życie ludzkie panie ministrze to nie jest moment żeby mieszać w tej ustawie ja nie mówię że pionizacja i zrównanie działania samorządów jest rzeczą złą ale nie robi się tego w sytuacji takiego zagrożenia dziękuję bardzo	3	0
ParlaMint-PL_2020-02-13-sejm-05-2.txt:ParlaMint-PL_2020-02-13-sejm-05-2.u135	dziękuję bardzo pani minister kolejne pytanie zadadzą panowie posłowie grzegorz lorek i marek polak pytanie w sprawie zagrożenia śmiertelnym koronawirusem jest skierowane oczywiście do ministra zdrowia proszę bardzo	1	0
ParlaMint-PL_2020-02-13-sejm-05-2.txt:ParlaMint-PL_2020-02-13-sejm-05-2.u136	panie marszałku wysoka izbo pani minister koronawirus jest kolejnym niezwykle niebezpiecznym wirusem który powoduje coraz więcej zachorowań szczególnie że okres inkubacji wirusa wynosi ponad 20 dni pani minister mam w tej sprawie kilka pytań jakie działania podejmują w tej sprawie ministerstwo zdrowia oraz sanepid czy dzięki nim zapewnione jest bezpieczeństwo obywateli rp czy jest możliwa identyfikacja dna wirusa w polskich laboratoriach aby skrócić proces diagnostyczny w przypadku podejrzenia zachorowania czy wszystkie placówki zdrowia otrzymały konkretne instrukcje jak postępować z chorym z podejrzeniem o zakażenie tym wirusem czy np mailowo nfz czy też sanepid powiadomiły gabinety lekarskie szczególnie lekarza rodzinnego jak należy postępować w tym przypadku dziękuję	0	1
