id	text	koronawirusem_hits	koronawirus_hits	wirus_hits	wirusem_hits
ParlaMint-PL_2019-12-12-sejm-02-1.txt:ParlaMint-PL_2019-12-12-sejm-02-1.u8	dziękuję bardzo pani marszałek wysoka izbo na podstawie art 184 ust 3 pkt 1 regulaminu sejmu chciałbym zgłosić wniosek formalny o przerwę i zwołanie konwentu seniorów  konwentu który jest niezbędny aby można było skutecznie uzupełnić porządek obrad o punkt który zgodnie z regulaminem sejmu zgłosił już klub koalicja polska dotyczący informacji o działaniach zmierzających do przeciwdziałania rozprzestrzeniającemu się wirusowi asf który niszczy polskich producentów trzody chlewnej oklaski ardanowski pani marszałek wysoka izbo mamy do czynienia z taką oto sytuacją że minister konstytucyjnie odpowiedzialny za rolnictwo w polsce za asf wini poprzedników politycznych i dziki po pierwsze potrzebna jest w tej izbie debata która uzmysłowi tym którzy w to wątpią że problem asf nie dotyczy tylko rolników ale jest problemem całej polskiej gospodarki i wszystkich konsumentów w tym kraju po drugie ten punkt jest potrzebny aby dzwonek wreszcie po wielu miesiącach ogłosić skuteczny program zwalczania asfu z wyznaczeniem środków panie ministrze teraz przyjeżdżają protestować rolnicy a za chwilę polacy będą protestować przeciwko wysokim cenom wieprzowiny dziękuję oklaski	0	0	0	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u852	można to porównać do organizmu jeżeli organizm ludzki zaatakuje rak w jednym albo w dwóch miejscach to jest łatwiej go zwalczyć ale jeżeli organizm jest już cały zaatakowany przez to że nie były podjęte wtedy dobre działania dziś już wiemy że były to niedobre działania bo wtedy min zakazano strzelania do dzików wtedy wstrzymano polowania i właśnie poprzez to bardzo mocno wzrosła w polsce populacja dzika a jest on drodzy państwo jednym z najważniejszych wektorów który przenosi tę chorobę dlatego trzeba to jest obowiązek dziś również na posiedzeniu komisji mieliśmy pewne głosy osób i to z tytułami doktorów żeby zakazać żeby nie strzelać do dzików bo to nic nie pomoże drodzy państwo dzik jest nosicielem i jeżeli nie zmniejszymy jego populacji będzie rozpowszechniał tę chorobę to jest normalne logiczne i myślę że ktokolwiek myśli logicznie widzi to gorzej z tymi którzy myślą przez pryzmat polityki i tylko chcą próbują atakować w takiej ważnej sprawie próbują atakować takie ataki były również drodzy państwo na posiedzeniu komisji jedna z pań poseł porównała a może zadała pytanie do wszystkich czym różni się człowiek od dzika drodzy państwo nawet nie będę na to odpowiadał mam w głowie wiele odpowiedzi ale nie będę zniżał się do tego poziomu żeby odpowiadać na to pytanie drodzy państwo ktoś kto zadaje takie pytanie nie zdaje sobie sprawy z tego jaki to jest wielki problem jaki to jest problem dla hodowcy gdy musi wybić całą trzodę chlewną dlatego że znajdzie się ognisko wtedy nie patrzy się na to czy to jest locha prosię warchlak tucznik tylko trzeba wszystkie zlikwidować drodzy państwo nie życzę nikomu nawet tym którzy tak mocno bronią dzików aby musiał oglądać takie obrazki a tych w internecie jest wiele gdy trzeba było likwidować u hodowcy trzodę chlewną wracając do tej ustawy  ta ustawa ma kilka poprawek takich które ułatwią zredukowanie pogłowia dzika w polsce min drodzy państwo to jest na wniosek wielu posłów posłów którzy kiedyś byli w partii kukiz15 w tej chwili są w klubie polskiego stronnictwa ludowego różnych posłów były wnioski abyśmy pozwolili albo zaangażowali w walkę z asfem funkcjonariuszy żołnierzy to właśnie tą ustawą robimy dzięki niej będziemy mogli angażować żołnierzy policjantów państwową straż pożarną straż graniczną tych którzy mają uprawnienia myśliwskie będziemy mogli angażować do walki z asfem z tą straszną tragedią chorobą wirusem który tak dziesiątkuje naszą polską hodowlę myślę że ci wszyscy którym zależy na polskiej hodowli nie powinni być przeciwko tej ustawie a w komisji było widać wielu przeciwników którzy robią to tylko i wyłącznie ze względów ideologicznych politycznych i partyjnych na to nie ma zgody z naszej strony następna zmiana w tej ustawie to znów sprawa bioasekuracji bo bioasekuracja też jest bardzo ważna do tej pory żeby wybudować nieckę trzeba było pozwolenia na budowę dzięki tej ustawie wprowadzamy taką zmianę że żeby wybudować nieckę wystarczy tylko zgłoszenie pomagamy również hodowcom żeby była ta bioasekuracja bo tak jak powiedziałem wektorem jest po pierwsze walka z asfem  przez to żeby zredukować dziki a po drugie trzeba wprowadzić dobrą bioasekurację tak że to musi być mocna współpraca myśliwych rządu ale również rolników i ta współpraca w wielu miejscach jest bardzo dobra chcę tu przywołać powiat piotrkowski drugi powiat w polsce pod względem hodowli trzody chlewnej drodzy państwo ja widzę jak tym hodowcom zależy ja widzę jak ci hodowcy wprowadzają bioasekurację jak bardzo mocno się angażują w to żeby do ich hodowli do ich chlewni ten wirus nie wszedł dlatego chcę tutaj podziękować tym wszystkim którym tak bardzo leży na sercu ta sprawa walki z asfem następna sprawa to jest sprawa tłumików bardzo mocno krytykowana przez ludzi którzy  tak jak powiedziałem ale mogę się mylić  moim zdaniem nie znają się na walce z asfem sprawa tłumików tego żeby można było używać w czasie polowań tłumików drodzy państwo jeżeli wychodzi wataha dzików jeżeli jest jeden strzał reszta się rozpierzcha trzeba doprowadzić do tego żeby można było redukować dokładniej drodzy państwo niektórzy mówią a jak mocno redukują wybiją wszystkie dziki w polsce nie będzie dzików drodzy państwo w niemczech wystrzelono do tej pory zredukowano liczbę o 800 tys my tylko o 200 to jest taka różnica drodzy państwo często opozycja powołuje się na różne historie z niemiec albo przykłady z niemiec to jest przykład drodzy państwo tam się tego nie boją nie boją się ekologów nie boją się tych którzy udają że bronią zwierząt ja polecam tym wszystkim którzy tak mocno bronią dzików i mówią że strzelamy do dzików film do obejrzenia na youtube jest taki film który pokazuje jak cierpi dzik gdy zarazi się tym wirusem tą chorobą jakie przechodzi męczarnie i w jakich męczarniach pada chciałbym żeby ci ludzie którzy tak mocno je chronią to obejrzeli bo ta ustawa pomaga pomaga również dzikom żeby się nie męczyły żeby nie musiały cierpieć w tej właśnie strasznej chorobie następna rzecz którą w tej ustawie regulujemy to jest sprawa blokad polowań wiemy że w wielu miejscach mieliśmy takie sytuacje znów przywołam piotrków trybunalski i myśliwych z piotrkowa trybunalskiego rolników z piotrkowa trybunalskiego z powiatu piotrkowskiego którzy chodzili na polowania po to żeby pomagać myśliwym żeby tych pseudoekologów którzy blokowali polowania nic więcej żeby usuwać tych którzy blokowali polowania tą ustawą regulujemy sprawę polowań bo tak jak powiedziałem to są ważne sprawy drodzy państwo jest to ustawa bardzo oczekiwana ustawa potrzebna ale żeby było jasne my mamy świadomość że tą ustawą nie załatwimy tego wielkiego problemu mamy tego wielką świadomość ale to jest kolejna ustawa która pomaga w walce z asfem kolejna ustawa która doprowadza do tego że nasz kraj ochronimy żeby nie był cały zalany tym wirusem i tym wielkim problemem  tak jak powiedziałem drodzy państwo  problemem dla nas wszystkich jest to ustawa która idzie w tym kierunku aby pomóc polskim rolnikom polskim hodowcom myśliwym polskiej gospodarce polskim konsumentom drodzy państwo następna rzecz bo niektórzy próbują sprawę choroby tego wirusa zepchnąć tylko na rolników i hodowców że to jest ich problem drodzy państwo jeżeli nie poradzimy sobie z tą chorobą struktura hodowli w polsce zmieni się bardzo mocno i wtedy te wszystkie małe hodowle te hodowle które do tej pory dają nam najlepszej jakości mięso wieprzowinę dlatego że tam jeżeli chodzi o żywienie bardzo często jeszcze jest ono prowadzone w tradycyjny sposób wieprzowina z tych hodowli jest najlepszej jakości najwyższej jakości jeżeli nie uda nam się w walce z tą chorobą to zmieni się struktura hodowli i zostaną te wielkie hodowle które nie do końca są hodowlami które dają aż tak dobrą jakość wieprzowiny to też jest sprawa konsumentów tak jak państwu powiedziałem dlatego nie wolno tej choroby tego wirusa tej bardzo ważnej sprawy spychać tylko na rolników i hodowców to jest problem na wszystkich ubolewam nad tym bardzo mocno  jeszcze raz to powiem  że są grupy w polsce które tak bardzo mocno utrudniają walkę z tym wirusem mam na myśli te grupy które podchodzą do tego ideologicznie jak wczoraj było słychać na posiedzeniu komisji którzy porównują dzika do człowieka może odwrotnie człowieka do dzika drodzy państwo to pokazuje że te grupy nie myślą o naszym wspólnym dobru tylko myślą wyłącznie panie pośle widzę że dla pana to jest śmiesznie a ja uważam że to jest bardzo poważna sprawa i ubolewam nad tym że pan się z tego śmieje bo tylko ci którzy nie znają tej choroby tego wirusa ci którzy na tym się nie znają mogą się dzisiaj z tego śmiać my się nie śmiejemy my uważamy że to jest bardzo poważny problem bardzo bym prosił żeby po prostu nie kpić z tego poważnego problemu bo to jest problem tak jak powiedziałem nas wszystkich to jest problem nasz narodowy i jeżeli nie będziemy umieli wznieść się nad swoje polityczne partyjne interesy to nie będziemy mogli z tym walczyć dlatego panie pośle mimo że mam do pana wielki szacunek myślę że w tym momencie pana śmiech jest nie na miejscu bo wszyscy powinniśmy do tej sprawy podchodzić poważnie bo wiem jak to jest bardzo poważna sprawa tak jak powiedziałem  dla nas wszystkich pani marszałek wysoki sejmie w imieniu komisji rolnictwa i w imieniu komisji ochrony środowiska proszę państwa abyśmy tę ustawę jak najszybciej uchwalili abyśmy ją przekazali do senatu proszę również z tego miejsca senatorów proszę marszałka senatu aby jak najszybciej uchwalić tę ustawę w senacie bo ta ustawa jest potrzebna ta ustawa ma pomóc w bardzo ważnej sprawie naszej narodowej sprawie i obyśmy mogli wszyscy ponad podziałami politycznymi wznieść się nad te podziały polityczne partyjne abyśmy mogli walczyć z tą chorobą z tym wirusem bo tego drodzy państwo oczekują od nas rolnicy hodowcy tego oczekują od nas polacy myślę że to jest nasza misja żeby to zrobić i tą ustawą robimy następny krok tak jak powiedziałem nie ostatni ale następny krok w walce z wirusem afrykańskiego pomoru świń dziękuję bardzo oklaski brawo przewodnictwo w obradach obejmuje marszałek sejmu elżbieta witek	0	0	1	6
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u876	nie było skutecznej depopulacji dzików które są głównym wektorem przenoszenia tej choroby część myśliwych na co należy zwrócić uwagę była stygmatyzowana przez środowiska mieniące się proekologicznymi niekoniecznie chcieli oni współpracować możemy spojrzeć np na czechy gdzie do zwalczania asf wykorzystuje się snajperów dzisiaj tego nie mamy ale może warto o tym pomyśleć asf może doprowadzić do głębokiego kryzysu mam wrażenie że wszyscy na sali jesteśmy tego świadomi ta nowelizacja w zasadzie specustawa ma na celu zwalczanie wirusa i bardzo dobrze projekt koncentruje przede wszystkim się na tym co jest przyczyną rozprzestrzeniania się asfu chodzi o dziki i problem depopulacji możliwości zwiększania odstrzału w tym aspekcie mogą też zwiększyć się uprawnienia policji straży wojska co istotne należy zwrócić uwagę na to że zakazuje się celowego uniemożliwiania przez osoby postronne przeszkadzania w samych polowaniach przez np organizacje ekologiczne czy pseudoekologiczne jak to w zasadzie  bardziej poprawnie  można określić dobrym przykładem który został już dzisiaj przytoczony są niemcy to kraj w którym faktycznie 800 tys dzików zostało odstrzelonych i mimo wszystko problem jest mniejszy my też mamy obowiązek aby w pierwszej kolejności pamiętać o tym gdzie jest dobro o które powinniśmy dbać chodzi o dobro rolnika i dobro konsumenta ale też o polską przyrodę i środowisko ekologia to nie jest tylko pilnowanie jakiegoś konkretnego gatunku ale utrzymywanie równowagi w środowisku to jest bardzo istotne więc rozszerzenie zasad bioasekuracji nie tylko na rolników lecz także na myśliwych służby zabezpieczające czy polowania sanitarne to jest dobry krok nieprecyzyjne natomiast jest wprowadzanie ustawą zmian do prawa łowieckiego które mają w zasadzie być traktowane przez myśliwych jako utrudnianie polowania to jest dość niejasne chodzi o art 42aa pkt 16 przepis jest dość ogólnikowy nie wyjaśnia do końca na czym miałoby polegać to celowe utrudnianie czy uniemożliwianie to warto byłoby dopracować jeśli chodzi o ostateczne brzmienie ustawy niemniej jednak cały projekt jako konfederacja uważamy za potrzebny zwracamy uwagę też na to że jest on uchwalany w sposób zbyt szybki w takim razie niekoniecznie musi być on przemyślany jest robiony w pośpiechu i co jest też istotne za późno o jedną kadencję to powinno być robione już kilka lat temu natomiast dalej jest to krok w dobrym kierunku więc my będziemy przy tym pomagać dziękuję oklaski	0	0	0	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u882	bardzo dziękuję panie marszałku wysoka izbo pan przewodniczący telus mówi że trzeba zacząć działać szanowni państwo mieliście 4 lata to jest dramat panie pośle to jest dramat jestem posłem z wielkopolski zachodniej z powiatu wolsztyńskiego wczoraj byli tutaj rolnicy którzy są przerażeni cały powiat wolsztyński jest już strefą czerwoną za chwilę naprawdę dojdzie do katastrofy będziemy mogli się już pewnie tylko modlić kiedy asf wejdzie do gospodarstw tu trzeba stanowczych działań a nie kolejnych nowelizacji nowelizujecie to prawo od 4 lat co się stało były trzy ogniska asfu szanowni państwo a w tej chwili jest 300 zaczęło się kilka tygodni temu w powiecie wschowskim w województwie lubuskim jakie przez 3 tygodnie podjęto działania rolnicy byli przerażeni dzwonili do nas dzwonili do biur poselskich chcieli podjęcia jakichś działań było spotkanie z wojewodą rozmowy nie było żadnych konkretnych działań co się stało przez te 3 tygodnie dzwonek wirus już jest w wielkopolsce jest w powiecie wolsztyńskim za chwilę będzie w nowotomyskim a później w międzychodzkim zniszczycie hodowlę wieprzowiny rolnicy wam tego nie wybaczą przez 4 lata nie zrobiliście nic dziękuję bardzo a pan co zrobił	0	0	1	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u884	szanowny panie marszałku wysoka izbo już od kilku lat zmagamy się z problemem asfu w polsce pierwsze jego ogniska wykryto w województwie podlaskim 5 lat temu gdy pis obejmował władzę na terenie naszego kraju istniały trzy ogniska asfu świń oraz stwierdzono 83 przypadki zarażonych dzików po 4 latach waszych rządów jest 261 ognisk wirusa u świń i 5660 przypadków jego występowania u dzików te liczby obrazują nam katastrofalną sytuację przespaliście gwałtowny rozwój asfu przez 4 lata a teraz jak gdyby nigdy nic mówicie że wy nadal walczycie z tą chorobą a ta ustawa ma być kolejnym panaceum na nią dlatego też oczekuję występując w imieniu podlaskich rolników dzwonek że rząd skończy z mrzonkami z tanią propagandą tylko wreszcie zajmie się na poważnie problemem asfu w naszym kraju oklaski	0	0	0	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u892	panie marszałku wysoka izbo chciałabym się dowiedzieć czy ministerstwo zapoznało się z argumentami przedstawionymi przez 61 naukowców z całej polski w liście otwartym środowiska naukowego w sprawie redukcji populacji dzików w którym postulują oni natychmiastowe wstrzymanie planowanych masowych i wielkoobszarowych odstrzałów dzików argumentując iż nie zapewnią one realizacji celu jakiemu mają służyć wręcz przeciwnie piszą naukowcy zarówno wytyczne europejskiego urzędu ds bezpieczeństwa żywności jak i krajowa praktyka wskazują że zmasowane polowania na dziki przyczyniają się do roznoszenia wirusa w związku z tym mam też kolejne pytanie czy ten odstrzał jest sposobem przykrycia zaniedbań wieloletnich zaniedbań ministerstwa w tej kwestii i czy stanowi po prostu zwykłą zasłonę dymną i na rzeź ma iść ponad 210 tys zwierząt dziękuję	0	0	0	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u942	panie marszałku wysoka izbo przypominam sobie tę debatę i ostrą krytykę pana ministra jurgiela kiedy wnosił o odwołanie pana ministra kalemby za nadmierny rygoryzm przy trzech ogniskach kiedy choroba wystąpiła akurat na podlasiu myślę że gdybyśmy wtedy ten rygoryzm utrzymali pewnie mielibyśmy mniej problemów choć zdaję sobie sprawę z tego jak to jest poważna sprawa bo to jest kwestia walki z chorobą na którą na razie nie ma szczepionek nie ma leków natomiast wielkopolska to jest 35 produkcji wieprzowiny w polsce a jednocześnie 70 stad hodowlanych proszę państwa to jest największy zasób bo produkcję jeszcze jakoś można odrodzić ale stada hodowlane ich prowadzenie odwirusowanie izolacje przestrzenne itd to jest ogromny zasób dlatego uważam że powinniśmy przeznaczyć ogromne środki na bioasekurację aby nie doszło do zniszczenia stad hodowlanych które są ogromną wartością biologiczną jeżeli chodzi o polski system rolny dzwonek 100 tys andrzej 100 tys zniknęło i jeszcze druga sprawa panie marszałku to są środki dla inspekcji weterynaryjnej inspekcja weterynaryjna nie zorganizuje zbiórki wspólnie z innymi służbami jeżeli oni będą mieli problem z tym jak zapłacić za transport jak opłacić ludzi jak zapłacić np za wyżywienie dla tych ludzi którzy pomagają w tej zbiórce a więc myślę że również w przypadku tej sprawy powinniśmy mieć tutaj jakieś rozwiązanie oklaski	0	0	0	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u979	mówi tak niestety nie ma innej rady żeby zatrzymać pochód wirusa asf  mówi prof zygmunt pejsak specjalista od tej choroby brawo ale zapewnia że populacja dzików szybko się odrodzi tak mówi profesor panie pośle sprawozdawco jakie skutki asfu są dla województwa łódzkiego ile jest ognisk tej choroby na terenie naszego województwa łódzkiego bo pan poseł sprawozdawca tak jak i ja jest z województwa łódzkiego dziękuję gwar na sali	0	0	0	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u984	dziękuję bardzo dziękuję panie marszałku pani minister szanowni państwo opozycja bardzo często wskazuje państwa unii europejskiej jako wzór dla nas w wielu obszarach i przy postępowaniu w różnych że tak powiem sprawach i właśnie w odniesieniu do walki z asf chciałam się dopytać w jaki sposób np u naszych sąsiadów zachodnich walczy się z tą straszną chorobą co robią niemcy żeby zwalczyć asf mało tego chciałabym się dopytać czy prawdą jest że komisja europejska na początku tego roku właśnie bardzo pozytywnie zaopiniowała postępowanie polski w obszarze walki z asf i w obszarze dzwonek zmniejszenia populacji dzika chciałabym się dopytać czy prawdą jest też że niemcy w tej chwili budują płot na granicy z polską potwierdzając właśnie to że dzik jest zwierzyną która przenosi wirus i tylko walka dążąca do zmniejszenia populacji i dostępności tego wirusa poprzez zmniejszenie dostępności do hodowli świń może zapobiegać tej chorobie dziękuję bardzo oklaski	0	0	1	0
ParlaMint-PL_2019-12-19-sejm-02-2.txt:ParlaMint-PL_2019-12-19-sejm-02-2.u996	mam pytanie dotyczące biernego nadzoru czyli usuwania padliny dzików i zwierząt zarażonych wirusem chciałam się dowiedzieć ile w poprzednich latach zostało wydanych środków na tego typu działania i ile środków ministerstwo planuje skierować na te działania w kolejnych latach przypomnę że w tym projekcie ustawy zakładacie że państwowa straż pożarna straż graniczna i policja będą się tym zajmowały	0	0	0	1
