2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
country,expert,great,queen speech,expertise,expert,science,bill,science
expert,science,expertise,queen,world,bill,expert,fire,expert
science,change,power,school,expert,science,world,expertise,must
expertise,expertise,soft,help,science,local,advice,safety,across
work,world,soft power,science,help,area,part,life,social
climate,uk,west,world,area,public,bill,include,life
year,service,first,good,home,expertise,issue,building,virus
technology,health,hon member,investment,welcome,see,medical,testing,school
change,speech,wonderful,change,speech,advice,public,home,care
know,area,britain,service,must,pay,best,risk,coronavirus
science technology,thing,global,climate,service,set,course,uk,member
climate change,look,uk,every,climate,system,social,expert,risk
time,climate,another,fund,include,hope,ask,datum,guidance
many,must,come,put,trade,number,across,test,scientist
talk,even,always,across,continue,world,think,science,last
