2020-03_coalition(n=8),2020-04_coalition(n=11),2020-04_opposition(n=12),2020-05_coalition(n=5),2020-05_opposition(n=12),2020-06_coalition(n=13),2020-06_opposition(n=20)
fiscalità,mediatore,nomina,convenzione,logistica,cultura,consulente
provenienza,collettività,giornale,sanificazione,trasporto,aspetto,esperto
risolutezza,micro,task,funzionamento,balia,competenza,escremento
organismo,bacchetta,totem,fatturato,contagiato,sviluppatore,app
potenzialità,caos,epidemiologia,profilo,frangente,rigurgito,efficacia
deputato,magistrato,prosa,partecipazione,force,dottore,politica
virologo,piano,velo,apertura,pletora,nostalgia,pero
scienziato,dottore,schiaffo,certezza,fermezza,decorso,enciclopedia
sviluppo,elaborazione,tipologia,cooperazione,augurio,compenso,end
pezzo,lunghezza,opinione,competenza,settore,grazie,lineeguida
ripresa,laboratorio,contagiato,calcio,task,studioso,trasmittente
paese,problematica,fenomeno,procedura,crisi,web,positivo
force,turno,tecnico,fase,sorpresa,progressività,caduta
task,differenziazione,casa,consiglio,analisi,premio,pipistrello
tassazione,fuoco,pagina,settore,impressione,velivolo,velocità
