GB,GB freq.,NL,NL freq.,DK,DK freq.,IT,IT freq.,CZ,CZ freq.,PL,PL freq.,ES,ES freq.,LT,LT freq.
"Bethell, James (CON)",18,"de Jonge, Hugo (CDA)",20,"Heunicke, Magnus (S)",17,"Conte, Giuseppe (-)",9,"Černochová, Jana (ODS)",8,"Morawiecki, Mateusz (-)",9,"Sánchez Pérez-castejón, Pedro (PSOE)",38,"Veryga, Aurelijus (LVŽSF)",23
"Hoyle, Lindsay Harvey (LAB;S)",18,"Jansen, Chris (PVV)",18,"Hækkerup, Nick (S)",8,"La Russa, Ignazio (FdI)",8,"Elfmark, František (Piráti)",8,"Bosak, Krzysztof (Konfederacja)",7,"Casado Blanco, Pablo (PP)",11,"Mažeika, Kęstutis (LVŽSF)",18
"Rees-Mogg, Jacob William (CON)",16,"Klaver, Jesse (GL)",17,"Andersen, Kirsten Normann (SF)",4,"Rauti, Isabella (FdI)",6,"Schillerová, Alena (-)",7,"Budka, Borys (KO)",6,"Lastra Fernández, Adriana (PSOE)",10,"Skvernelis, Saulius (LVŽSF)",14
"Gardiner, John Eric (CON)",15,"Bruins, Bruno (VVD)",17,"Hegaard, Kristian (RV)",4,"Sbrollini, Daniela (IV-PSI)",5,"Kalousek, Miroslav (TOP09)",7,"Rybicki, Sławomir (KO)",6,"Abascal Conde, Santiago (Vox)",9,"Sysas, Algirdas (LSDPF)",10
"Hancock, Matthew John David (CON)",12,"Asscher, Lodewijk (PvdA)",16,"Messerschmidt, Morten (DF)",4,"Bernini, Anna Maria (FIBP-UDC)",4,"Babiš, Andrej (ANO)",5,"Mucha, Paweł (-)",6,"Bal Francés, Edmundo (Cs)",9,"Majauskas, Mykolas (TS-LKDF)",10
"Blackford, Ian (SNP)",11,"Bikker, Mirjam (CU)",11,"Østergaard, Morten (RV)",3,"Mantovani, Maria Laura (M5S.2)",4,"Stanjura, Zbyněk (ODS)",4,"Zdrojewska, Barbara (KO)",5,"Illa Roca, Salvador (PSOE)",7,"Nekrošius, Arvydas (LVŽSF)",8
"McIntosh, Anne (CON)",10,"Bijleveld-Schouten, Ank (CDA)",11,"Olesen, Ole Birk (LA)",3,"Boldrini, Paola (PD)",4,"Kaňkovský, Vít (KDU-ČSL)",3,"Kosiniak-Kamysz, Władysław (KP-PSL)",5,"Calviño Santamaría, Nadia (PSOE)",7,"Armonaitė, Aušrinė (-)",7
"Bennett, Natalie (GP)",9,"Jetten, Rob (D66)",11,"Vanopslagh, Alex (LA)",3,"De Petris, Loredana (Misto)",4,"Zaorálek, Lubomír (ČSSD)",2,"Gadomski, Sławomir (-)",5,"Echániz Salgado, José Ignacio (PP)",7,"Čmilytė-Nielsen, Viktorija (-)",7
"Davis, David Michael (CON)",8,"Dijkhoff, Klaas (VVD)",9,"Siddique, Sikandar (UFG)",3,"Salvini, Matteo (L-SP-PSd'Az)",3,"Bauer, Jan (ODS)",2,"Czerwiński, Jerzy (PiS)",5,"Esteban Bravo, Aitor (EAJ-PNV)",5,"Macijauskas, M. (-)",7
"Berridge, Elizabeth Rose (CON)",8,"Rutte, Mark (VVD)",8,"Stampe, Zenia (RV)",3,"Vitali, Luigi (FIBP-UDC)",3,"Dolejš, Jiří (KSČM)",2,"Wcisła, Jerzy (KO)",5,"Ribera Rodríguez, Teresa (PSOE)",5,"Šakalienė, Dovilė (LSDPF)",6
